ProgramName c++ O0 O1 O2 O3
alexis-P11868_ca-S001-AC.cc 35 1440 423 466 458 
alexis-P12943_ca-S001-AC.cc 47 208 183 178 178 
alexis-P13623_en-S002-AC.cc 38 143 126 138 140 
alexis-P14130_ca-S001-AC.cc 22 1360 264 282 410 
alexis-P15030_ca-S004-AC.cc 37 1377 361 400 403 
alexis-P16175_ca-S001-AC.cc 74 2814 800 882 1053 
alexis-P18660_ca-S001-AC.cc 91 5483 1500 1615 2088 
alexis-P19991_en-S001-AC.cc 33 138 117 130 130 
alexis-P22467_en-S013-AC.cc 26 257 223 305 387 
alexis-P27152_en-S001-AC.cc 25 298 226 226 279 
alexis-P27341_ca-S001-AC.cc 24 199 181 201 201 
alexis-P28318_ca-S001-AC.cc 46 3550 843 887 897 
alexis-P29094_ca-S002-AC.cc 18 164 70 71 70 
alexis-P29212_ca-S002-AC.cc 17 189 198 227 696 
alexis-P32149_ca-S002-AC.cc 29 348 258 264 637 
alexis-P32533_ca-S001-AC.cc 27 133 162 187 187 
alexis-P33412_en-S003-AC.cc 20 251 93 108 174 
alexis-P34279_en-S002-AC.cc 28 174 131 131 131 
alexis-P34438_ca-S005-AC.cc 35 300 129 96 182 
alexis-P34682_en-S001-AC.cc 51 1502 469 496 531 
alexis-P34682_en-S003-AC.cc 51 1502 469 496 531 
alexis-P37760_en-S001-AC.cc 31 273 154 185 185 
alexis-P40902_ca-S002-AC.cc 36 3871 1287 1282 1471 
alexis-P40902_ca-S003-AC.cc 36 3871 1287 1282 1471 
alexis-P42042_en-S002-AC.cc 22 167 107 110 110 
alexis-P42280_en-S001-AC.cc 32 133 109 122 124 
alexis-P42523_en-S001-AC.cc 13 151 96 132 132 
alexis-P42672_en-S001-AC.cc 17 190 180 209 616 
alexis-P46736_ca-S001-AC.cc 37 247 245 244 283 
alexis-P48107_ca-S001-AC.cc 7 126 80 81 81 
alexis-P50497_ca-S001-AC.cc 15 220 156 193 193 
alexis-P50497_ca-S002-AC.cc 14 220 156 193 193 
alexis-P50709_ca-S001-AC.cc 44 3969 665 639 811 
alexis-P51126_ca-S002-AC.cc 26 177 135 131 131 
alexis-P51352_es-S001-AC.cc 27 170 113 101 101 
alexis-P52926_en-S006-AC.cc 16 351 406 441 464 
alexis-P56059_ca-S005-AC.cc 30 371 282 305 305 
alexis-P56059_ca-S006-AC.cc 19 382 291 308 308 
alexis-P56059_ca-S007-AC.cc 19 382 291 308 308 
alexis-P56559_ca-S002-AC.cc 18 156 113 112 112 
alexis-P57315_es-S002-AC.cc 43 183 172 170 170 
alexis-P57515_ca-S001-AC.cc 25 224 235 307 470 
alexis-P61634_en-S001-AC.cc 24 190 123 137 137 
alexis-P62467_en-S001-AC.cc 19 163 193 235 521 
alexis-P63414_ca-S002-AC.cc 40 1754 427 479 482 
alexis-P64555_ca-S005-AC.cc 45 3842 1040 1121 1169 
alexis-P65171_ca-S002-AC.cc 44 304 115 119 119 
alexis-P68688_en-S003-AC.cc 5 91 51 52 52 
alexis-P70093_ca-S003-AC.cc 32 1271 175 176 183 
